% Model:              Xsource_ver8.mph
% Version:            COMSOL 4.3.2.189
% Date:               Jan 19 2015, 15:04
% Dimension:          1
% Nodes:              1000
% Expressions:        1
% Description:        Line graph
% E                       Height
1.927927927927928E9       1.0075754183048893E-15
1.9369369369369369E9      1.190275365598969E-15
1.945945945945946E9       1.403996222259989E-15
1.954954954954955E9       1.6536437901143402E-15
1.963963963963964E9       1.9448417856342697E-15
1.9729729729729729E9      2.2840282657403906E-15
1.981981981981982E9       2.678563815550605E-15
1.990990990990991E9       3.136852782580562E-15
2000000000                3.668478964957327E-15
2.009009009009009E9       4.284357294283734E-15
2.018018018018018E9       4.996903197540306E-15
2.0270270270270271E9      5.820221477519087E-15
2.036036036036036E9       6.770316718467188E-15
2.045045045045045E9       7.865327403621148E-15
2.054054054054054E9       9.125786124918244E-15
2.0630630630630631E9      1.0574908473188255E-14
2.072072072072072E9       1.2238913420398126E-14
2.0810810810810812E9      1.4147378244925933E-14
2.09009009009009E9        1.6333631307279382E-14
2.0990990990990992E9      1.8835186258099758E-14
2.108108108108108E9       2.1694221553671017E-14
2.1171171171171172E9      2.4958109467500955E-14
2.126126126126126E9       2.867999912089537E-14
2.1351351351351352E9      3.291945841188378E-14
2.144144144144144E9       3.7743180101484047E-14
2.1531531531531534E9      4.32257577202555E-14
2.162162162162162E9       4.945053738755498E-14
2.171171171171171E9       5.651055209209724E-14
2.18018018018018E9        6.450954546653119E-14
2.189189189189189E9       7.356309260212082E-14
2.1981981981981983E9      8.379982599344758E-14
2.207207207207207E9       9.536277527878234E-14
2.216216216216216E9       1.0841083005068784E-13
2.2252252252252254E9      1.2312033565489153E-13
2.2342342342342343E9      1.396868325749971E-13
2.243243243243243E9       1.583269507175482E-13
2.2522522522522526E9      1.7928047066777823E-13
2.261261261261261E9       2.0281256478266418E-13
2.2702702702702703E9      2.292162318260597E-13
2.279279279279279E9       2.5881493973219884E-13
2.288288288288288E9       2.9196549201057457E-13
2.2972972972972975E9      3.290611342781836E-13
2.3063063063063064E9      3.7053491842654885E-13
2.3153153153153152E9      4.168633430018796E-13
2.3243243243243246E9      4.685702894991744E-13
2.333333333333333E9       5.26231275446431E-13
2.3423423423423424E9      5.904780463852308E-13
2.3513513513513513E9      6.620035301400784E-13
2.36036036036036E9        7.415671781133551E-13
2.3693693693693695E9      8.30000719746294E-13
2.3783783783783784E9      9.282143577515134E-13
2.3873873873873873E9      1.037203433250642E-12
2.3963963963963966E9      1.1580555915428157E-12
2.4054054054054055E9      1.2919584808886774E-12
2.4144144144144144E9      1.4402080184208506E-12
2.423423423423424E9       1.6042172590877968E-12
2.432432432432432E9       1.7855259054049799E-12
2.4414414414414415E9      1.985810497727131E-12
2.4504504504504504E9      2.2068953267686902E-12
2.4594594594594593E9      2.4507641121904207E-12
2.4684684684684687E9      2.7195724932361624E-12
2.4774774774774776E9      3.015661379650508E-12
2.4864864864864864E9      3.3415712134345604E-12
2.495495495495496E9       3.700057194404882E-12
2.504504504504504E9       4.094105525012858E-12
2.5135135135135136E9      4.5269507324579665E-12
2.5225225225225224E9      5.002094128790094E-12
2.5315315315315313E9      5.523323472447559E-12
2.5405405405405407E9      6.094733897513854E-12
2.5495495495495496E9      6.72075017990615E-12
2.5585585585585585E9      7.406150412727535E-12
2.567567567567568E9       8.156091166126695E-12
2.576576576576576E9       8.976134210213505E-12
2.5855855855855856E9      9.87227488288013E-12
2.5945945945945945E9      1.0850972187769224E-11
2.6036036036036034E9      1.1919180711125577E-11
2.6126126126126127E9      1.3084384449853107E-11
2.6216216216216216E9      1.435463264678638E-11
2.6306306306306305E9      1.5738577732972125E-11
2.63963963963964E9        1.7245515480639057E-11
